Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-06-18,4.0,-0.21174476050122384,-0.21174476050122384
2024-06-20,2.5,-0.8106262299325935,-0.8106262299325935
2024-06-21,5.0,0.18750955245302253,0.18750955245302253
2024-06-24,2.75,-0.7108126516940318,-0.7108126516940318
2024-06-25,3.25,-0.5111854952169087,-0.5111854952169087
2024-06-26,2.5,-0.8106262299325935,-0.8106262299325935
2024-07-01,3.5,-0.4113719169783471,-0.4113719169783471
2024-07-02,2.5,-0.8106262299325935,-0.8106262299325935
2024-07-09,1.75,-1.1100669646482784,-1.1100669646482784
2024-07-10,3.75,-0.31155833873978545,-0.31155833873978545
2024-07-15,4.25,-0.11193118226266226,-0.11193118226266226
2024-07-16,4.5,-0.012117604024100656,-0.012117604024100656
2024-07-17,3.0,-0.6109990734554702,-0.6109990734554702
2024-07-18,3.0,-0.6109990734554702,-0.6109990734554702
2024-07-19,4.0,-0.21174476050122384,-0.21174476050122384
2024-07-22,4.0,-0.21174476050122384,-0.21174476050122384
2024-07-23,3.25,-0.5111854952169087,-0.5111854952169087
2024-07-24,3.5,-0.4113719169783471,-0.4113719169783471
2024-07-29,3.0,-0.6109990734554702,-0.6109990734554702
2024-07-30,2.25,-0.9104398081711551,-0.9104398081711551
2024-07-31,2.5,-0.8106262299325935,-0.8106262299325935
2024-08-01,1.75,-1.1100669646482784,-1.1100669646482784
2024-08-05,12.75,3.281730477848432,3.281730477848432
2024-08-06,5.75,0.48695028716870736,0.48695028716870736
2024-08-07,5.25,0.28732313069158416,0.28732313069158416
2024-08-08,3.75,-0.31155833873978545,-0.31155833873978545
2024-08-09,2.5,-0.8106262299325935,-0.8106262299325935
2024-08-15,2.25,-0.9104398081711551,-0.9104398081711551
2024-08-19,3.0,-0.6109990734554702,-0.6109990734554702
2024-08-20,3.0,-0.6109990734554702,-0.6109990734554702
2024-08-22,5.0,0.18750955245302253,0.18750955245302253
2024-08-23,2.5,-0.8106262299325935,-0.8106262299325935
2024-08-26,2.5,-0.8106262299325935,-0.8106262299325935
2024-08-27,3.75,-0.31155833873978545,-0.31155833873978545
2024-08-28,11.5,2.7826625866556243,2.7826625866556243
2024-09-03,9.75,2.083967538985693,2.083967538985693
2024-09-04,11.0,2.583035430178501,2.583035430178501
2024-09-05,11.0,2.583035430178501,2.583035430178501
2024-09-10,10.25,2.283594695462816,2.283594695462816
2024-09-16,9.75,2.083967538985693,2.083967538985693
2024-09-17,3.25,-0.5111854952169087,-0.5111854952169087
2024-09-18,3.5,-0.4113719169783471,-0.4113719169783471
2024-09-19,4.25,-0.11193118226266226,-0.11193118226266226
2024-09-20,3.75,-0.31155833873978545,-0.31155833873978545
2024-09-23,4.0,-0.21174476050122384,-0.21174476050122384
2024-09-24,5.0,0.18750955245302253,0.18750955245302253
2024-09-25,3.75,-0.31155833873978545,-0.31155833873978545
2024-09-30,4.25,-0.11193118226266226,-0.11193118226266226
2024-10-01,5.75,0.48695028716870736,0.48695028716870736
2024-10-02,4.25,-0.11193118226266226,-0.11193118226266226
2024-10-03,2.75,-0.7108126516940318,-0.7108126516940318
2024-10-07,6.0,0.586763865407269,0.586763865407269
2024-10-08,3.75,-0.31155833873978545,-0.31155833873978545
2024-10-09,2.0,-1.0102533864097167,-1.0102533864097167
2024-10-14,3.5,-0.4113719169783471,-0.4113719169783471
2024-10-16,3.5,-0.4113719169783471,-0.4113719169783471
2024-10-17,1.75,-1.1100669646482784,-1.1100669646482784
2024-10-18,2.75,-0.7108126516940318,-0.7108126516940318
2024-10-21,6.5,0.7863910218843921,0.7863910218843921
2024-10-22,2.0,-1.0102533864097167,-1.0102533864097167
2024-10-23,2.0,-1.0102533864097167,-1.0102533864097167
2024-10-24,4.25,-0.11193118226266226,-0.11193118226266226
2024-10-28,4.25,-0.11193118226266226,-0.11193118226266226
2024-10-29,5.25,0.28732313069158416,0.28732313069158416
2024-11-04,4.25,-0.11193118226266226,-0.11193118226266226
2024-11-05,3.5,-0.4113719169783471,-0.4113719169783471
2024-11-06,10.25,2.283594695462816,2.283594695462816
2024-11-07,5.25,0.28732313069158416,0.28732313069158416
2024-11-11,3.5,-0.4113719169783471,-0.4113719169783471
2024-11-15,5.25,0.28732313069158416,0.28732313069158416
2024-11-18,4.75,0.08769597421446094,0.08769597421446094
2024-11-19,7.75,1.2854589130772,1.2854589130772
2024-11-20,3.5,-0.4113719169783471,-0.4113719169783471
2024-11-21,4.0,-0.21174476050122384,-0.21174476050122384
2024-11-25,4.25,-0.11193118226266226,-0.11193118226266226
2024-11-26,2.5,-0.8106262299325935,-0.8106262299325935
2024-12-02,5.5,0.38713670893014573,0.38713670893014573
2024-12-03,4.75,0.08769597421446094,0.08769597421446094
2024-12-04,6.0,0.586763865407269,0.586763865407269
2024-12-05,5.25,0.28732313069158416,0.28732313069158416
2024-12-10,6.75,0.8862046001229538,0.8862046001229538
2024-12-13,3.75,-0.31155833873978545,-0.31155833873978545
2024-12-16,2.25,-0.9104398081711551,-0.9104398081711551
2024-12-17,5.0,0.18750955245302253,0.18750955245302253
2024-12-18,3.25,-0.5111854952169087,-0.5111854952169087
2024-12-23,3.0,-0.6109990734554702,-0.6109990734554702
2024-12-26,1.75,-1.1100669646482784,-1.1100669646482784
2024-12-27,4.5,-0.012117604024100656,-0.012117604024100656
2024-12-30,3.5,-0.4113719169783471,-0.4113719169783471
2024-12-31,2.5,-0.8106262299325935,-0.8106262299325935
2025-01-02,6.5,0.7863910218843921,0.7863910218843921
2025-01-03,2.75,-0.7108126516940318,-0.7108126516940318
2025-01-06,5.75,0.48695028716870736,0.48695028716870736
2025-01-07,3.75,-0.31155833873978545,-0.31155833873978545
2025-01-08,4.0,-0.21174476050122384,-0.21174476050122384
2025-01-09,2.75,-0.7108126516940318,-0.7108126516940318
2025-01-16,2.75,-0.7108126516940318,-0.7108126516940318
2025-01-17,3.0,-0.6109990734554702,-0.6109990734554702
2025-01-20,3.0,-0.6109990734554702,-0.6109990734554702
